light ,temperature ,humidity ,comfortable
   35 ,      29.52 ,   48.99 ,          1
   35 ,      29.52 ,   49.22 ,          1
    4 ,      29.51 ,   49.52 ,          0
    4 ,      29.52 ,   49.74 ,          0
    4 ,      29.52 ,   49.94 ,          0
    4 ,      29.54 ,   50.17 ,          0
    1 ,      29.54 ,   50.41 ,          0
    1 ,      29.54 ,   50.69 ,          0
    1 ,      29.55 ,   51.03 ,          0
    1 ,      29.56 ,   51.42 ,          0
    1 ,      29.56 ,   51.87 ,          0
    1 ,      29.56 ,   52.36 ,          0
    1 ,      29.56 ,   52.9  ,          0
    1 ,      29.56 ,   53.46 ,          0
    1 ,      29.58 ,   54.04 ,          0
    1 ,      29.59 ,   54.54 ,          0
    5 ,      29.58 ,   54.84 ,          0
    5 ,      29.59 ,   54.86 ,          0
   12 ,      29.58 ,   54.78 ,          0
   12 ,      29.58 ,   54.65 ,          0
   12 ,      29.56 ,   54.45 ,          0
   12 ,      29.58 ,   54.21 ,          0
   10 ,      29.56 ,   53.94 ,          0
   10 ,      29.58 ,   53.68 ,          0
   10 ,      29.56 ,   53.39 ,          0
   10 ,      29.56 ,   53.15 ,          0
   15 ,      29.55 ,   52.9  ,          0
   15 ,      29.56 ,   52.65 ,          0
   17 ,      29.55 ,   52.41 ,          0
   17 ,      29.55 ,   52.21 ,          0
   15 ,      29.55 ,   52.03 ,          0
   15 ,      29.55 ,   51.83 ,          0
   14 ,      29.55 ,   51.66 ,          0
   14 ,      29.56 ,   51.5  ,          0
   15 ,      29.55 ,   51.32 ,          0
   15 ,      29.55 ,   51.19 ,          0
    8 ,      29.55 ,   51.05 ,          0
    8 ,      29.55 ,   50.94 ,          0
  130 ,      29.55 ,   50.81 ,          1
  130 ,      29.55 ,   50.71 ,          1
  137 ,      29.54 ,   50.6  ,          1
  137 ,      29.55 ,   50.51 ,          1
  153 ,      29.55 ,   50.42 ,          1
  153 ,      29.56 ,   50.34 ,          1
  145 ,      29.55 ,   50.27 ,          1
  145 ,      29.55 ,   50.2  ,          1
  154 ,      29.55 ,   50.14 ,          1
  154 ,      29.55 ,   50.08 ,          1
  190 ,      29.55 ,   50.01 ,          1
  190 ,      29.55 ,   49.96 ,          1
  152 ,      29.55 ,   49.9  ,          1
  152 ,      29.55 ,   49.81 ,          1
  177 ,      29.54 ,   49.73 ,          1
  177 ,      29.55 ,   49.68 ,          1
  185 ,      29.54 ,   49.6  ,          1
  185 ,      29.54 ,   49.53 ,          1
  182 ,      29.54 ,   49.47 ,          1
  182 ,      29.54 ,   49.41 ,          1
  189 ,      29.54 ,   49.35 ,          1
  189 ,      29.54 ,   49.3  ,          1
  173 ,      29.54 ,   49.26 ,          1
  173 ,      29.54 ,   49.2  ,          1
  181 ,      29.54 ,   49.17 ,          1
  181 ,      29.54 ,   49.13 ,          1
  163 ,      29.54 ,   49.1  ,          1
  163 ,      29.55 ,   49.06 ,          1
  174 ,      29.54 ,   49.02 ,          1
  174 ,      29.54 ,   48.99 ,          1
  181 ,      29.52 ,   48.95 ,          1
  181 ,      29.52 ,   48.91 ,          1
  193 ,      29.54 ,   48.9  ,          1
  193 ,      29.54 ,   48.88 ,          1
  186 ,      29.52 ,   48.84 ,          1
  186 ,      29.54 ,   48.82 ,          1
  186 ,      29.52 ,   48.78 ,          1
  186 ,      29.54 ,   48.77 ,          1
  186 ,      29.54 ,   48.75 ,          1
  186 ,      29.54 ,   48.73 ,          1
  165 ,      29.52 ,   48.71 ,          1
  165 ,      29.52 ,   48.69 ,          1
  132 ,      29.52 ,   48.67 ,          1
  132 ,      29.54 ,   48.65 ,          1
   56 ,      29.52 ,   48.64 ,          1
   56 ,      29.52 ,   48.64 ,          1
    5 ,      29.52 ,   48.62 ,          0
    5 ,      29.52 ,   48.6  ,          0
    2 ,      29.51 ,   48.6  ,          0
    2 ,      29.52 ,   48.58 ,          0
    1 ,      29.52 ,   48.58 ,          0
    1 ,      29.52 ,   48.6  ,          0
    1 ,      29.52 ,   48.65 ,          0
    1 ,      29.54 ,   48.77 ,          0
    1 ,      29.54 ,   48.91 ,          0
    1 ,      29.54 ,   49.15 ,          0
    1 ,      29.54 ,   49.41 ,          0
    1 ,      29.54 ,   49.71 ,          0
    0 ,      29.54 ,   50.06 ,          0
    0 ,      29.55 ,   50.42 ,          0
    0 ,      29.55 ,   50.82 ,          0
    0 ,      29.55 ,   51.27 ,          0
    0 ,      29.55 ,   51.76 ,          0
    0 ,      29.56 ,   52.25 ,          0
    0 ,      29.56 ,   52.77 ,          0
    0 ,      29.58 ,   53.3  ,          0
    0 ,      29.58 ,   53.85 ,          0
    0 ,      29.58 ,   54.38 ,          0
    0 ,      29.58 ,   54.92 ,          0
    0 ,      29.59 ,   55.47 ,          0
    0 ,      29.59 ,   56.03 ,          0
    0 ,      29.6  ,   56.54 ,          0
    0 ,      29.59 ,   57.08 ,          0
    0 ,      29.6  ,   57.57 ,          0
    0 ,      29.6  ,   58.07 ,          0
    0 ,      29.6  ,   58.52 ,          0
    0 ,      29.6  ,   58.99 ,          0
    0 ,      29.62 ,   59.39 ,          0
    0 ,      29.62 ,   59.78 ,          0
    0 ,      29.62 ,   60.13 ,          0
    0 ,      29.62 ,   60.46 ,          0
    0 ,      29.63 ,   60.78 ,          0
    0 ,      29.63 ,   61.09 ,          0
    0 ,      29.65 ,   61.35 ,          0
    0 ,      29.63 ,   61.61 ,          0
    0 ,      29.63 ,   61.85 ,          0
    0 ,      29.63 ,   62.09 ,          0
    0 ,      29.65 ,   62.3  ,          0
    0 ,      29.65 ,   62.5  ,          0
    0 ,      29.65 ,   62.69 ,          0
    0 ,      29.66 ,   62.89 ,          0
    0 ,      29.66 ,   63.07 ,          0
    0 ,      29.66 ,   63.24 ,          0
    0 ,      29.66 ,   63.41 ,          0
    0 ,      29.66 ,   63.6  ,          0
    0 ,      29.66 ,   63.79 ,          0
    0 ,      29.66 ,   63.96 ,          0
    0 ,      29.69 ,   64.15 ,          0
    0 ,      29.67 ,   64.33 ,          0
    0 ,      29.67 ,   64.51 ,          0
    0 ,      29.67 ,   64.69 ,          0
    0 ,      29.69 ,   64.88 ,          0
    0 ,      29.69 ,   65.06 ,          0
    0 ,      29.7  ,   65.23 ,          0
    0 ,      29.69 ,   65.43 ,          0
    0 ,      29.7  ,   65.62 ,          0
    0 ,      29.7  ,   65.81 ,          0
    0 ,      29.7  ,   65.99 ,          0
    0 ,      29.7  ,   66.18 ,          0
    0 ,      29.7  ,   66.36 ,          0
    0 ,      29.71 ,   66.56 ,          0
    0 ,      29.7  ,   66.76 ,          0
    0 ,      29.71 ,   66.94 ,          0
    0 ,      29.73 ,   67.11 ,          0
    0 ,      29.71 ,   67.29 ,          0
    0 ,      29.73 ,   67.46 ,          0
    0 ,      29.74 ,   67.64 ,          0
    0 ,      29.73 ,   67.84 ,          0
    0 ,      29.73 ,   68.01 ,          0
    0 ,      29.74 ,   68.18 ,          0
    0 ,      29.75 ,   68.37 ,          0
    0 ,      29.75 ,   68.53 ,          0
    0 ,      29.75 ,   68.7  ,          0
    0 ,      29.77 ,   68.87 ,          0
    0 ,      29.75 ,   69.05 ,          0
    0 ,      29.77 ,   69.2  ,          0
    0 ,      29.77 ,   69.38 ,          0
    0 ,      29.77 ,   69.54 ,          0
    0 ,      29.77 ,   69.7  ,          0
    0 ,      29.77 ,   69.86 ,          0
    0 ,      29.77 ,   70.02 ,          0
    0 ,      29.77 ,   70.18 ,          0
    0 ,      29.78 ,   70.33 ,          0
    0 ,      29.78 ,   70.48 ,          0
    0 ,      29.78 ,   70.62 ,          0
    0 ,      29.8  ,   70.75 ,          0
    0 ,      29.78 ,   70.9  ,          0
    0 ,      29.8  ,   71.01 ,          0
    0 ,      29.8  ,   71.14 ,          0
    0 ,      29.8  ,   71.27 ,          0
    0 ,      29.8  ,   71.39 ,          0
    0 ,      29.82 ,   71.52 ,          0
    0 ,      29.82 ,   71.63 ,          0
    0 ,      29.82 ,   71.76 ,          0
    0 ,      29.83 ,   71.87 ,          0
    0 ,      29.85 ,   71.96 ,          0
    0 ,      29.83 ,   72.09 ,          0
    0 ,      29.85 ,   72.19 ,          0
    0 ,      29.83 ,   72.3  ,          0
    0 ,      29.86 ,   72.39 ,          0
    0 ,      29.85 ,   72.49 ,          0
    0 ,      29.85 ,   72.58 ,          0
    0 ,      29.86 ,   72.67 ,          0
    0 ,      29.87 ,   72.75 ,          0
    0 ,      29.86 ,   72.85 ,          0
    0 ,      29.87 ,   72.95 ,          0
    0 ,      29.86 ,   73.04 ,          0
    0 ,      29.86 ,   73.12 ,          0
    0 ,      29.86 ,   73.22 ,          0
    0 ,      29.87 ,   73.28 ,          0
    0 ,      29.89 ,   73.36 ,          0
    0 ,      29.89 ,   73.43 ,          0
    0 ,      29.89 ,   73.51 ,          0
    0 ,      29.9  ,   73.57 ,          0
    0 ,      29.9  ,   73.65 ,          0
    0 ,      29.92 ,   73.72 ,          0
    0 ,      29.9  ,   73.8  ,          0
    0 ,      29.9  ,   73.88 ,          0
    0 ,      29.9  ,   73.94 ,          0
    0 ,      29.93 ,   74.01 ,          0
    0 ,      29.92 ,   74.09 ,          0
    0 ,      29.93 ,   74.15 ,          0
    0 ,      29.92 ,   74.21 ,          0
    0 ,      29.93 ,   74.28 ,          0
    0 ,      29.93 ,   74.32 ,          0
    0 ,      29.94 ,   74.38 ,          0
    0 ,      29.93 ,   74.44 ,          0
    0 ,      29.94 ,   74.49 ,          0
    0 ,      29.94 ,   74.55 ,          0
    0 ,      29.94 ,   74.62 ,          0
    0 ,      29.94 ,   74.68 ,          0
    0 ,      29.94 ,   74.73 ,          0
    0 ,      29.96 ,   74.79 ,          0
    0 ,      29.98 ,   74.83 ,          0
    0 ,      29.97 ,   74.89 ,          0
    0 ,      29.98 ,   74.92 ,          0
    0 ,      29.98 ,   74.97 ,          0
    0 ,      29.98 ,   75.02 ,          0
    0 ,      29.98 ,   75.07 ,          0
    0 ,      30.0  ,   75.1  ,          0
    0 ,      30.0  ,   75.13 ,          0
    0 ,      30.0  ,   75.16 ,          0
    0 ,      30.01 ,   75.21 ,          0
    0 ,      30.01 ,   75.24 ,          0
    0 ,      30.01 ,   75.27 ,          0
    0 ,      30.01 ,   75.29 ,          0
    0 ,      30.01 ,   75.31 ,          0
    0 ,      30.01 ,   75.33 ,          0
    0 ,      30.02 ,   75.35 ,          0
    0 ,      30.04 ,   75.38 ,          0
    0 ,      30.04 ,   75.39 ,          0
    0 ,      30.04 ,   75.39 ,          0
    0 ,      30.04 ,   75.42 ,          0
    0 ,      30.05 ,   75.44 ,          0
    0 ,      30.05 ,   75.44 ,          0
    0 ,      30.07 ,   75.45 ,          0
    0 ,      30.05 ,   75.45 ,          0
    0 ,      30.07 ,   75.47 ,          0
    0 ,      30.07 ,   75.48 ,          0
    0 ,      30.08 ,   75.48 ,          0
    0 ,      30.07 ,   75.5  ,          0
    0 ,      30.08 ,   75.51 ,          0
    0 ,      30.08 ,   75.51 ,          0
    0 ,      30.08 ,   75.54 ,          0
    0 ,      30.08 ,   75.54 ,          0
    0 ,      30.09 ,   75.56 ,          0
    0 ,      30.11 ,   75.59 ,          0
    0 ,      30.09 ,   75.6  ,          0
    0 ,      30.09 ,   75.62 ,          0
    0 ,      30.11 ,   75.64 ,          0
    0 ,      30.12 ,   75.65 ,          0
    0 ,      30.12 ,   75.67 ,          0
    0 ,      30.13 ,   75.68 ,          0
    0 ,      30.13 ,   75.7  ,          0
    0 ,      30.13 ,   75.71 ,          0
    0 ,      30.15 ,   75.73 ,          0
    0 ,      30.13 ,   75.74 ,          0
    0 ,      30.15 ,   75.76 ,          0
    0 ,      30.16 ,   75.77 ,          0
    0 ,      30.16 ,   75.79 ,          0
    0 ,      30.16 ,   75.83 ,          0
    0 ,      30.16 ,   75.84 ,          0
    0 ,      30.16 ,   75.85 ,          0
    0 ,      30.16 ,   75.89 ,          0
    0 ,      30.16 ,   75.9  ,          0
    0 ,      30.17 ,   75.92 ,          0
    0 ,      30.17 ,   75.97 ,          0
    0 ,      30.19 ,   75.98 ,          0
    0 ,      30.2  ,   76.01 ,          0
    0 ,      30.2  ,   76.05 ,          0
    0 ,      30.2  ,   76.08 ,          0
    0 ,      30.22 ,   76.09 ,          0
    0 ,      30.22 ,   76.12 ,          0
    0 ,      30.23 ,   76.15 ,          0
    0 ,      30.23 ,   76.18 ,          0
    0 ,      30.23 ,   76.22 ,          0
    0 ,      30.23 ,   76.25 ,          0
    0 ,      30.23 ,   76.28 ,          0
    0 ,      30.24 ,   76.3  ,          0
    0 ,      30.24 ,   76.32 ,          0
    0 ,      30.24 ,   76.35 ,          0
    0 ,      30.24 ,   76.37 ,          0
    0 ,      30.26 ,   76.41 ,          0
    0 ,      30.27 ,   76.42 ,          0
    0 ,      30.27 ,   76.45 ,          0
    0 ,      30.27 ,   76.47 ,          0
    0 ,      30.27 ,   76.5  ,          0
    0 ,      30.27 ,   76.53 ,          0
    0 ,      30.28 ,   76.56 ,          0
    0 ,      30.28 ,   76.58 ,          0
    0 ,      30.28 ,   76.61 ,          0
    0 ,      30.3  ,   76.64 ,          0
    0 ,      30.3  ,   76.66 ,          0
    0 ,      30.31 ,   76.69 ,          0
    0 ,      30.31 ,   76.72 ,          0
    0 ,      30.32 ,   76.74 ,          0
    0 ,      30.32 ,   76.77 ,          0
    0 ,      30.32 ,   76.78 ,          0
    0 ,      30.34 ,   76.81 ,          0
    0 ,      30.34 ,   76.84 ,          0
    0 ,      30.34 ,   76.87 ,          0
    0 ,      30.35 ,   76.88 ,          0
    0 ,      30.35 ,   76.91 ,          0
    0 ,      30.35 ,   76.95 ,          0
    0 ,      30.35 ,   76.98 ,          0
    0 ,      30.37 ,   77.01 ,          0
    0 ,      30.37 ,   77.03 ,          0
    0 ,      30.38 ,   77.06 ,          0
    0 ,      30.37 ,   77.09 ,          0
    0 ,      30.38 ,   77.12 ,          0
    0 ,      30.39 ,   77.14 ,          0
    0 ,      30.39 ,   77.18 ,          0
    0 ,      30.41 ,   77.2  ,          0
    0 ,      30.41 ,   77.23 ,          0
    0 ,      30.41 ,   77.26 ,          0
    0 ,      30.42 ,   77.27 ,          0
    0 ,      30.41 ,   77.28 ,          0
    0 ,      30.42 ,   77.32 ,          0
    0 ,      30.42 ,   77.33 ,          0
    0 ,      30.43 ,   77.35 ,          0
    0 ,      30.43 ,   77.36 ,          0
    0 ,      30.43 ,   77.39 ,          0
    0 ,      30.45 ,   77.41 ,          0
    0 ,      30.45 ,   77.42 ,          0
    0 ,      30.46 ,   77.44 ,          0
    0 ,      30.46 ,   77.46 ,          0
    0 ,      30.46 ,   77.48 ,          0
    0 ,      30.47 ,   77.51 ,          0
    0 ,      30.47 ,   77.52 ,          0
    0 ,      30.49 ,   77.54 ,          0
    0 ,      30.47 ,   77.57 ,          0
    0 ,      30.5  ,   77.58 ,          0
    0 ,      30.49 ,   77.6  ,          0
    0 ,      30.5  ,   77.61 ,          0
    0 ,      30.5  ,   77.64 ,          0
    0 ,      30.5  ,   77.64 ,          0
    0 ,      30.52 ,   77.68 ,          0
    0 ,      30.53 ,   77.69 ,          0
    0 ,      30.52 ,   77.71 ,          0
    0 ,      30.52 ,   77.73 ,          0
    0 ,      30.54 ,   77.75 ,          0
    0 ,      30.54 ,   77.77 ,          0
    0 ,      30.54 ,   77.8  ,          0
    0 ,      30.56 ,   77.81 ,          0
    0 ,      30.54 ,   77.82 ,          0
    0 ,      30.56 ,   77.85 ,          0
    0 ,      30.56 ,   77.88 ,          0
    0 ,      30.56 ,   77.9  ,          0
    0 ,      30.57 ,   77.93 ,          0
    0 ,      30.57 ,   77.96 ,          0
    0 ,      30.57 ,   77.99 ,          0
    0 ,      30.58 ,   78.01 ,          0
    0 ,      30.58 ,   78.04 ,          0
    0 ,      30.6  ,   78.07 ,          0
    0 ,      30.6  ,   78.1  ,          0
    0 ,      30.6  ,   78.13 ,          0
    0 ,      30.6  ,   78.17 ,          0
    0 ,      30.63 ,   78.2  ,          0
    0 ,      30.61 ,   78.22 ,          0
    0 ,      30.63 ,   78.25 ,          0
    0 ,      30.63 ,   78.28 ,          0
    0 ,      30.64 ,   78.3  ,          0
    0 ,      30.65 ,   78.33 ,          0
    0 ,      30.64 ,   78.34 ,          0
    0 ,      30.65 ,   78.38 ,          0
    0 ,      30.65 ,   78.41 ,          0
    0 ,      30.67 ,   78.42 ,          0
    0 ,      30.67 ,   78.43 ,          0
    0 ,      30.65 ,   78.46 ,          0
    0 ,      30.67 ,   78.48 ,          0
    0 ,      30.68 ,   78.5  ,          0
    0 ,      30.68 ,   78.54 ,          0
    0 ,      30.68 ,   78.55 ,          0
    0 ,      30.69 ,   78.56 ,          0
    0 ,      30.69 ,   78.58 ,          0
    0 ,      30.71 ,   78.59 ,          0
    0 ,      30.69 ,   78.59 ,          0
    0 ,      30.71 ,   78.61 ,          0
    0 ,      30.69 ,   78.63 ,          0
    0 ,      30.72 ,   78.63 ,          0
    0 ,      30.72 ,   78.65 ,          0
    0 ,      30.72 ,   78.66 ,          0
    0 ,      30.72 ,   78.68 ,          0
    0 ,      30.73 ,   78.7  ,          0
    0 ,      30.75 ,   78.7  ,          0
    0 ,      30.75 ,   78.71 ,          0
    0 ,      30.75 ,   78.74 ,          0
    0 ,      30.76 ,   78.73 ,          0
    0 ,      30.76 ,   78.75 ,          0
    0 ,      30.76 ,   78.76 ,          0
    0 ,      30.76 ,   78.76 ,          0
    0 ,      30.78 ,   78.78 ,          0
    0 ,      30.79 ,   78.79 ,          0
    0 ,      30.79 ,   78.79 ,          0
    0 ,      30.78 ,   78.81 ,          0
    0 ,      30.79 ,   78.83 ,          0
    0 ,      30.79 ,   78.84 ,          0
    0 ,      30.8  ,   78.86 ,          0
    0 ,      30.82 ,   78.87 ,          0
    0 ,      30.82 ,   78.87 ,          0
    0 ,      30.82 ,   78.89 ,          0
    0 ,      30.83 ,   78.91 ,          0
    0 ,      30.83 ,   78.92 ,          0
    0 ,      30.84 ,   78.92 ,          0
    0 ,      30.83 ,   78.94 ,          0
    0 ,      30.84 ,   78.95 ,          0
    0 ,      30.84 ,   78.97 ,          0
    0 ,      30.84 ,   78.97 ,          0
    0 ,      30.86 ,   78.99 ,          0
    0 ,      30.87 ,   79.0  ,          0
    0 ,      30.87 ,   79.0  ,          0
    0 ,      30.86 ,   79.02 ,          0
    0 ,      30.86 ,   79.02 ,          0
    0 ,      30.88 ,   79.03 ,          0
    0 ,      30.88 ,   79.03 ,          0
    0 ,      30.9  ,   79.05 ,          0
    0 ,      30.88 ,   79.05 ,          0
    0 ,      30.9  ,   79.05 ,          0
    0 ,      30.9  ,   79.07 ,          0
    0 ,      30.91 ,   79.07 ,          0
    0 ,      30.93 ,   79.07 ,          0
    0 ,      30.91 ,   79.07 ,          0
    0 ,      30.93 ,   79.07 ,          0
    0 ,      30.94 ,   79.07 ,          0
    0 ,      30.93 ,   79.08 ,          0
    0 ,      30.94 ,   79.08 ,          0
    0 ,      30.95 ,   79.07 ,          0
    0 ,      30.95 ,   79.05 ,          0
    1 ,      30.94 ,   78.94 ,          0
    1 ,      30.95 ,   78.71 ,          0
  100 ,      30.94 ,   78.17 ,          0
  100 ,      30.94 ,   77.5  ,          0
  121 ,      30.93 ,   76.5  ,          0
  121 ,      30.91 ,   75.35 ,          0
  229 ,      30.9  ,   73.93 ,          0
  229 ,      30.9  ,   72.74 ,          0
  202 ,      30.88 ,   71.47 ,          0
  202 ,      30.88 ,   70.29 ,          0
  188 ,      30.88 ,   69.12 ,          0
  188 ,      30.88 ,   68.05 ,          0
  195 ,      30.88 ,   67.0  ,          0
  195 ,      30.87 ,   66.02 ,          0
  206 ,      30.88 ,   65.13 ,          0
  206 ,      30.87 ,   64.29 ,          0
  200 ,      30.87 ,   63.54 ,          0
  200 ,      30.9  ,   62.93 ,          0
  201 ,      30.88 ,   62.31 ,          0
  201 ,      30.88 ,   61.79 ,          0
  206 ,      30.88 ,   61.25 ,          0
  206 ,      30.9  ,   60.8  ,          0
  204 ,      30.88 ,   60.35 ,          0
  204 ,      30.9  ,   59.92 ,          0
  198 ,      30.9  ,   59.53 ,          0
  198 ,      30.9  ,   59.16 ,          0
  202 ,      30.91 ,   58.82 ,          0
  202 ,      30.91 ,   58.52 ,          0
  201 ,      30.9  ,   58.23 ,          0
  201 ,      30.93 ,   57.96 ,          0
  205 ,      30.91 ,   57.68 ,          0
  205 ,      30.93 ,   57.43 ,          0
  202 ,      30.93 ,   57.19 ,          0
  202 ,      30.93 ,   56.98 ,          0
  196 ,      30.93 ,   56.74 ,          0
  196 ,      30.93 ,   56.53 ,          0
  195 ,      30.91 ,   56.31 ,          0
  195 ,      30.93 ,   56.11 ,          0
  206 ,      30.93 ,   55.9  ,          0
  206 ,      30.91 ,   55.7  ,          0
  197 ,      30.91 ,   55.51 ,          0
  197 ,      30.93 ,   55.34 ,          0
  206 ,      30.9  ,   55.16 ,          0
  206 ,      30.91 ,   55.0  ,          0
  202 ,      30.93 ,   54.84 ,          0
  202 ,      30.93 ,   54.67 ,          0
  195 ,      30.91 ,   54.52 ,          0
  195 ,      30.93 ,   54.38 ,          0
  205 ,      30.91 ,   54.23 ,          0
  205 ,      30.91 ,   54.09 ,          0
  201 ,      30.93 ,   53.96 ,          0
  201 ,      30.93 ,   53.83 ,          0
  206 ,      30.93 ,   53.7  ,          0
  206 ,      30.93 ,   53.58 ,          0
  205 ,      30.91 ,   53.45 ,          0
  205 ,      30.93 ,   53.34 ,          0
  202 ,      30.94 ,   53.25 ,          0
  202 ,      30.93 ,   53.14 ,          0
  198 ,      30.93 ,   53.05 ,          0
  198 ,      30.91 ,   52.93 ,          0
  198 ,      30.93 ,   52.84 ,          0
  198 ,      30.93 ,   52.75 ,          0
  208 ,      30.91 ,   52.65 ,          0
  208 ,      30.93 ,   52.58 ,          0
  208 ,      30.93 ,   52.49 ,          0
  208 ,      30.93 ,   52.41 ,          0
  202 ,      30.91 ,   52.32 ,          0
  202 ,      30.93 ,   52.27 ,          0
  201 ,      30.93 ,   52.17 ,          0
  201 ,      30.93 ,   52.12 ,          0
  209 ,      30.93 ,   52.04 ,          0
  209 ,      30.93 ,   51.97 ,          0
  204 ,      30.93 ,   51.92 ,          0
  204 ,      30.93 ,   51.87 ,          0
  199 ,      30.91 ,   51.79 ,          0
  199 ,      30.93 ,   51.74 ,          0
  210 ,      30.93 ,   51.68 ,          0
  210 ,      30.94 ,   51.64 ,          0
  212 ,      30.93 ,   51.59 ,          0
  212 ,      30.93 ,   51.53 ,          0
  211 ,      30.93 ,   51.48 ,          0
  211 ,      30.93 ,   51.43 ,          0
  207 ,      30.91 ,   51.38 ,          0
  207 ,      30.93 ,   51.32 ,          0
  213 ,      30.93 ,   51.29 ,          0
  213 ,      30.94 ,   51.23 ,          0
  214 ,      30.93 ,   51.18 ,          0
  214 ,      30.93 ,   51.14 ,          0
  215 ,      30.91 ,   51.08 ,          0
  215 ,      30.93 ,   51.05 ,          0
  213 ,      30.93 ,   51.01 ,          0
  213 ,      30.94 ,   50.95 ,          0
  208 ,      30.91 ,   50.92 ,          0
  208 ,      30.93 ,   50.88 ,          0
  201 ,      30.91 ,   50.84 ,          0
  201 ,      30.91 ,   50.81 ,          0
  208 ,      30.93 ,   50.77 ,          0
  208 ,      30.94 ,   50.73 ,          0
  209 ,      30.9  ,   50.69 ,          0
  209 ,      30.93 ,   50.66 ,          0
  214 ,      30.93 ,   50.64 ,          0
  214 ,      30.93 ,   50.6  ,          0
  212 ,      30.93 ,   50.57 ,          0
  212 ,      30.93 ,   50.53 ,          0
  213 ,      30.93 ,   50.49 ,          0
  213 ,      30.93 ,   50.45 ,          0
  207 ,      30.93 ,   50.44 ,          0
  207 ,      30.93 ,   50.4  ,          0
  202 ,      30.91 ,   50.36 ,          0
  202 ,      30.93 ,   50.34 ,          0
  214 ,      30.91 ,   50.31 ,          0
  214 ,      30.93 ,   50.27 ,          0
  213 ,      30.91 ,   50.25 ,          0
  213 ,      30.93 ,   50.21 ,          0
  202 ,      30.93 ,   50.2  ,          0
  202 ,      30.91 ,   50.16 ,          0
  202 ,      30.9  ,   50.14 ,          0
  202 ,      30.91 ,   50.1  ,          0
  214 ,      30.93 ,   50.08 ,          0
  214 ,      30.93 ,   50.05 ,          0
  209 ,      30.93 ,   50.03 ,          0
  209 ,      30.93 ,   49.99 ,          0
  203 ,      30.91 ,   49.97 ,          0
  203 ,      30.93 ,   49.96 ,          0
  200 ,      30.91 ,   49.92 ,          0
  200 ,      30.93 ,   49.9  ,          0
  210 ,      30.91 ,   49.86 ,          0
  210 ,      30.93 ,   49.84 ,          0
  215 ,      30.93 ,   49.83 ,          0
  215 ,      30.91 ,   49.81 ,          0
  208 ,      30.91 ,   49.79 ,          0
  208 ,      30.93 ,   49.75 ,          0
  215 ,      30.91 ,   49.73 ,          0
  215 ,      30.91 ,   49.71 ,          0
  203 ,      30.9  ,   49.7  ,          0
  203 ,      30.9  ,   49.68 ,          0
  209 ,      30.91 ,   49.64 ,          0
  209 ,      30.93 ,   49.62 ,          0
  202 ,      30.9  ,   49.6  ,          0
  202 ,      30.91 ,   49.59 ,          0
  206 ,      30.91 ,   49.57 ,          0
  206 ,      30.9  ,   49.53 ,          0
  199 ,      30.9  ,   49.51 ,          0
  199 ,      30.91 ,   49.49 ,          0
  207 ,      30.9  ,   49.47 ,          0
  207 ,      30.9  ,   49.45 ,          0
  208 ,      30.9  ,   49.43 ,          0
  208 ,      30.9  ,   49.41 ,          0
  205 ,      30.91 ,   49.39 ,          0
